,0
Date,3/01/200510/01/200517/01/200524/01/200531/01/20057/02/200514/02/200521/02/200528/02/20057/03/200514/03/200521/03/200528/03/20054/04/200511/04/200518/04/200525/04/20052/05/20059/05/200516/05/200523/05/200530/05/20056/06/200513/06/200520/06/200527/06/20054/07/200511/07/200518/07/200525/07/20051/08/20058/08/200515/08/200522/08/200529/08/20055/09/200512/09/200519/09/200526/09/20053/10/200510/10/200517/10/200524/10/200531/10/20057/11/200514/11/200521/11/200528/11/20055/12/200512/12/200519/12/200526/12/20052/01/20069/01/200616/01/200623/01/200630/01/20066/02/200613/02/200620/02/200627/02/20066/03/200613/03/200620/03/200627/03/20063/04/200610/04/200617/04/200624/04/20061/05/20068/05/200615/05/200622/05/200629/05/20065/06/200612/06/200619/06/200626/06/20063/07/200610/07/200617/07/200624/07/200631/07/20067/08/200614/08/200621/08/200628/08/20064/09/200611/09/200618/09/200625/09/20062/10/20069/10/200616/10/200623/10/200630/10/20066/11/200613/11/200620/11/200627/11/20064/12/200611/12/200618/12/200625/12/20061/01/20078/01/200715/01/200722/01/200729/01/20075/02/200712/02/200719/02/200726/02/20075/03/200712/03/200719/03/200726/03/20072/04/20079/04/200716/04/200723/04/200730/04/20077/05/200714/05/200721/05/200728/05/20074/06/200711/06/200718/06/200725/06/20072/07/20079/07/200716/07/200723/07/200730/07/20076/08/200713/08/200720/08/200727/08/20073/09/200710/09/200717/09/200724/09/20071/10/20078/10/200715/10/200722/10/200729/10/20075/11/200712/11/200719/11/200726/11/20073/12/200710/12/200717/12/200724/12/200731/12/20077/01/200814/01/200821/01/200828/01/20084/02/200811/02/200818/02/200825/02/20083/03/200810/03/200817/03/200824/03/200831/03/20087/04/200814/04/200821/04/200828/04/20085/05/200812/05/200819/05/200826/05/20082/06/20089/06/200816/06/200823/06/200830/06/20087/07/200814/07/200821/07/200828/07/20084/08/200811/08/200818/08/200825/08/20081/09/20088/09/200815/09/200822/09/200829/09/20086/10/200813/10/200820/10/200827/10/20083/11/200810/11/200817/11/200824/11/20081/12/20088/12/200815/12/200822/12/200829/12/20085/01/200912/01/200919/01/200926/01/20092/02/20099/02/200916/02/200923/02/20092/03/20099/03/200916/03/200923/03/200930/03/20096/04/200913/04/200920/04/200927/04/20094/05/200911/05/200918/05/200925/05/20091/06/20098/06/200915/06/200922/06/200929/06/20096/07/200913/07/200920/07/200927/07/20093/08/200910/08/200917/08/200924/08/200931/08/20097/09/200914/09/200921/09/200928/09/20095/10/200912/10/200919/10/200926/10/20092/11/20099/11/200916/11/200923/11/200930/11/20097/12/200914/12/200921/12/200928/12/20094/01/201011/01/201018/01/201025/01/20101/02/20108/02/201015/02/201022/02/20101/03/20108/03/201015/03/201022/03/201029/03/20105/04/201012/04/201019/04/201026/04/20103/05/201010/05/201017/05/201024/05/201031/05/20107/06/201014/06/201021/06/201028/06/20105/07/201012/07/201019/07/201026/07/20102/08/20109/08/201016/08/201023/08/201030/08/20106/09/201013/09/201020/09/201027/09/20104/10/201011/10/201018/10/201025/10/20101/11/20108/11/201015/11/201022/11/201029/11/20106/12/201013/12/201020/12/201027/12/20103/01/201110/01/201117/01/201124/01/201131/01/20117/02/201114/02/201121/02/201128/02/20117/03/201114/03/201121/03/201128/03/20114/04/201111/04/201118/04/201125/04/20112/05/20119/05/201116/05/201123/05/201130/05/20116/06/201113/06/201120/06/201127/06/20114/07/201111/07/201118/07/201125/07/20111/08/20118/08/201115/08/201122/08/201129/08/20115/09/201112/09/201119/09/201126/09/20113/10/201110/10/201117/10/201124/10/201131/10/20117/11/201114/11/201121/11/201128/11/20115/12/201112/12/201119/12/201126/12/20112/01/20129/01/201216/01/201223/01/201230/01/20126/02/201213/02/201220/02/201227/02/20125/03/201212/03/201219/03/201226/03/20122/04/20129/04/201216/04/201223/04/201230/04/20127/05/201214/05/201221/05/201228/05/20124/06/201211/06/201218/06/201225/06/20122/07/20129/07/201216/07/201223/07/201230/07/20126/08/201213/08/201220/08/201227/08/20123/09/201210/09/201217/09/201224/09/20121/10/20128/10/201215/10/201222/10/201229/10/20125/11/201212/11/201219/11/201226/11/20123/12/201210/12/201217/12/201224/12/201231/12/20127/01/201314/01/201321/01/201328/01/20134/02/201311/02/201318/02/201325/02/20134/03/201311/03/201318/03/201325/03/20131/04/20138/04/201315/04/201322/04/201329/04/20136/05/201313/05/201320/05/201327/05/20133/06/201310/06/201317/06/201324/06/20131/07/20138/07/201315/07/201322/07/201329/07/20135/08/201312/08/201319/08/201326/08/20132/09/20139/09/201316/09/201323/09/201330/09/20137/10/201314/10/201321/10/201328/10/20134/11/201311/11/201318/11/201325/11/20132/12/20139/12/201316/12/201323/12/201330/12/20136/01/201413/01/201420/01/201427/01/20143/02/201410/02/201417/02/201424/02/20143/03/201410/03/201417/03/201424/03/201431/03/20147/04/201414/04/201421/04/201428/04/20145/05/201412/05/201419/05/201426/05/20142/06/20149/06/201416/06/201423/06/201430/06/20147/07/201414/07/201421/07/201428/07/20144/08/201411/08/201418/08/201425/08/20141/09/20148/09/201415/09/201422/09/201429/09/20146/10/201413/10/201420/10/201427/10/20143/11/201410/11/201417/11/201424/11/20141/12/20148/12/201415/12/201422/12/201429/12/2014
BUDAPEST,52850
BARANYA,17855
BACS,19401
BEKES,15092
BORSOD,29797
CSONGRAD,16437
FEJER,17368
GYOR,21630
HAJDU,24585
HEVES,15499
JASZ,21334
KOMAROM,13386
NOGRAD,11406
PEST,44945
SOMOGY,14412
SZABOLCS,15584
TOLNA,10624
VAS,11728
VESZPREM,21212
ZALA,10374
